"Periodo","Estrato 2 o menos","Estrato 3","Estrato 4 o más","ND/NE"
"2008-2",37,6,0,8
"2009-2",30,7,0,2
"2010-1",38,4,3,6
"2010-2",58,2,0,11
"2011-1",61,7,2,13
"2011-2",72,4,1,3
"2012-1",71,5,0,7
"2012-2",68,6,0,4
"2013-1",74,5,0,11
"2013-2",64,5,0,7
"2014-1",60,10,1,6
"2014-2",47,12,1,8
"2015-1",74,8,1,6
"2015-2",44,6,0,3
"2016-1",80,4,2,4
"2016-2",51,2,1,5
"2017-1",95,7,0,7
"2017-2",65,9,2,7
"2018-1",112,14,2,4
"2018-2",114,4,0,6
"2019-1",110,12,1,9
"2019-2",86,5,0,4
"2020-1",100,20,1,11
"2020-2",104,6,0,11
