"Periodo","Estrato 2 o menos","Estrato 3","Estrato 4 o más","ND/NE"
"2008-2",150,14,0,48
"2009-2",123,11,0,25
"2010-1",265,12,4,54
"2010-2",175,9,0,68
"2011-1",273,25,2,103
"2011-2",222,14,1,34
"2012-1",571,18,6,101
"2012-2",212,15,2,26
"2013-1",379,28,1,142
"2013-2",289,16,0,68
"2014-1",406,35,3,88
"2014-2",234,31,2,44
"2015-1",343,21,5,71
"2015-2",285,13,0,45
"2016-1",340,29,4,59
"2016-2",207,10,4,21
"2017-1",511,28,1,197
"2017-2",293,32,4,48
"2018-1",563,32,2,174
"2018-2",784,21,1,36
"2019-1",650,39,1,267
"2019-2",233,22,1,53
"2020-1",554,51,2,227
"2020-2",541,24,1,101
