"Periodo","Estrato 2 o menos","Estrato 3","Estrato 4 o más","ND/NE"
"2009-1",29,7,2,5
"2009-2",44,16,2,13
"2010-1",82,24,4,14
"2010-2",111,24,4,27
"2011-1",133,28,7,34
"2011-2",,,,
"2012-1",137,21,2,84
"2012-2",168,19,4,100
"2013-1",181,19,3,130
"2013-2",228,16,5,118
"2014-1",348,31,10,117
"2014-2",258,22,5,104
"2015-1",315,27,5,101
"2015-2",322,25,5,97
"2016-1",357,19,5,93
"2016-2",365,24,5,93
"2017-1",401,32,6,89
"2017-2",419,37,5,67
"2018-1",462,43,7,75
"2018-2",519,43,5,71
"2019-1",540,53,6,57
"2019-2",579,59,5,36
