"Año","Periodo","Estrato 2 o menos","Estrato 3","Estrato 4 o más","ND/NE","Total"
"2021","1","1587","1024","440","12","3063"
"2020","2","1302","1116","297","15","2730"
"2020","1","1368","1310","581","14","3273"
"2019","2","1314","1168","472","10","2964"
"2019","1","1422","1279","613","23","3337"
"2018","2","1264","1255","497","22","3038"
"2018","1","1566","1435","635","28","3664"
"2017","2","1229","1186","536","14","2965"
"2017","1","1440","1247","547","35","3269"
"2016","2","1312","1241","432","19","3004"
"2016","1","1338","1253","534","17","3142"
"2015","2","1298","1148","459","22","2927"
"2015","1","1327","1293","512","30","3162"
"2014","2","1357","1118","402","29","2906"
"2014","1","1177","1171","433","28","2809"
"2013","2","1133","1059","375","18","2585"
"2013","1","1398","1385","571","18","3372"
"2012","2","1258","1267","411","21","2957"
"2012","1","1361","1384","564","28","3337"
"2011","2","1263","1254","468","20","3005"
"2011","1","1443","1344","524","20","3331"
"2010","2","1398","1358","427","16","3199"
"2010","1","1308","1393","531","24","3256"
"2009","2","1206","1115","421","22","2764"
"2009","1","1182","1308","463","16","2969"
"2008","2","1140","1207","381","23","2751"
"2008","1","1051","1278","527","81","2937"
