"Año","Periodo","Colombiana","Extranjero","Sin información","Total"
"2021","1","3050","13","0","3063"
"2020","2","2713","17","0","2730"
"2020","1","3232","41","0","3273"
"2019","2","2914","50","0","2964"
"2019","1","3299","38","0","3337"
"2018","2","2997","41","0","3038"
"2018","1","3619","45","0","3664"
"2017","2","2933","32","0","2965"
"2017","1","3240","29","0","3269"
"2016","2","2983","21","0","3004"
"2016","1","3126","16","0","3142"
"2015","2","2900","27","0","2927"
"2015","1","3137","25","0","3162"
"2014","2","2890","16","0","2906"
"2014","1","2792","17","0","2809"
"2013","2","2567","18","0","2585"
"2013","1","3357","15","0","3372"
"2012","2","2939","18","0","2957"
"2012","1","3322","15","0","3337"
"2011","2","2982","23","0","3005"
