"Año","Periodo","Comunidades indígenas","Mejores bachilleres","Mejores bachilleres de municipios pobres","Población afrocolombiana","Victimas del conflicto armado interno en Colombia","Total"
"2021","1","79","43","37","79","42","280"
"2020","2","75","2","0","28","61","166"
"2020","1","83","73","50","77","24","307"
"2019","2","70","24","4","22","42","162"
"2019","1","88","59","58","67","35","307"
"2018","2","76","25","4","19","30","154"
"2018","1","90","77","80","92","20","359"
"2017","2","68","35","2","18","25","148"
"2017","1","82","63","68","70","13","296"
"2016","2","68","26","3","11","13","121"
"2016","1","71","76","67","52","1","267"
"2015","2","63","29","1","3","0","96"
"2015","1","70","59","67","67","3","266"
"2014","2","66","28","1","9","0","104"
"2014","1","66","53","52","49","1","221"
"2013","2","60","26","1","5","0","92"
"2013","1","72","55","71","68","","266"
"2012","2","72","36","0","19","","127"
"2012","1","91","65","99","71","","326"
"2011","2","72","48","4","14","","138"
"2011","1","84","52","97","77","","310"
"2010","2","75","32","40","7","","154"
"2010","1","73","52","78","48","","251"
"2009","2","56","32","45","","","133"
"2009","1","59","85","65","","","209"
"2008","2","57","80","37","","","174"
"2008","1","41","115","71","","","227"
