"Año","Periodo","PAES","PEAMA","Regular","Total"
"2021","1","280","68","2715","3063"
"2020","2","166","0","2564","2730"
"2020","1","307","25","2941","3273"
"2019","2","162","0","2802","2964"
"2019","1","307","0","3030","3337"
"2018","2","154","13","2871","3038"
"2018","1","359","0","3305","3664"
"2017","2","148","0","2817","2965"
"2017","1","296","13","2960","3269"
"2016","2","121","20","2863","3004"
"2016","1","267","","2875","3142"
"2015","2","96","","2831","2927"
"2015","1","266","","2896","3162"
"2014","2","104","","2802","2906"
"2014","1","221","","2588","2809"
"2013","2","92","","2493","2585"
"2013","1","266","","3106","3372"
"2012","2","127","","2830","2957"
"2012","1","326","","3011","3337"
"2011","2","138","","2867","3005"
"2011","1","310","","3021","3331"
"2010","2","154","","3045","3199"
"2010","1","251","","3005","3256"
"2009","2","133","","2631","2764"
"2009","1","209","","2760","2969"
"2008","2","174","","2577","2751"
"2008","1","227","","2710","2937"
