"Año","Periodo","17 años o menos","18 a 20 años","21 a 25 años","26 o más años","Sin información","Total"
"2021","1","22747","14207","5249","907","4","43114"
"2020","2","13032","9832","3354","1329","22","27569"
"2020","1","26645","11859","3177","1183","33","42897"
"2019","2","14331","10145","3255","1068","21","28820"
"2019","1","35724","10193","3721","1588","107","51333"
"2018","2","14837","11140","3674","1260","0","30911"
"2018","1","29525","12902","3565","1405","6","47403"
"2017","2","14830","11787","4028","1272","6","31923"
"2017","1","31305","13749","3914","1340","5","50313"
"2016","2","12489","10913","4071","1504","3","28980"
"2016","1","30153","13308","3570","1361","7","48399"
"2015","2","12777","12715","4152","1416","4","31064"
"2015","1","29335","12831","3132","1206","1","46505"
"2014","2","12564","11406","3913","1226","2","29111"
