"Año","Periodo","Estrato 2 o menos","Estrato 3","Estrato 4 o más","ND/NE","Total"
"2021","1","25231","15149","2625","109","43114"
"2020","2","14948","9964","2497","160","27569"
"2020","1","23355","15701","3672","169","42897"
"2019","2","15107","10780","2810","123","28820"
"2019","1","29025","17899","4057","352","51333"
"2018","2","16204","11502","3033","172","30911"
"2018","1","26057","17094","3974","278","47403"
"2017","2","16702","11961","3109","151","31923"
"2017","1","27993","18123","3948","249","50313"
"2016","2","15746","10580","2476","178","28980"
"2016","1","27218","17573","3430","178","48399"
"2015","2","16986","11516","2416","146","31064"
"2015","1","26083","17012","3221","189","46505"
"2014","2","16281","10517","2191","122","29111"
