"Año","Periodo","Hombres","Mujeres","Total"
"2021","1","19940","23174","43114"
"2020","2","13417","14152","27569"
"2020","1","20612","22285","42897"
"2019","2","13913","14907","28820"
"2019","1","24499","26834","51333"
"2018","2","15068","15843","30911"
"2018","1","22161","25242","47403"
"2017","2","15308","16615","31923"
"2017","1","23612","26701","50313"
"2016","2","14087","14893","28980"
"2016","1","22762","25637","48399"
"2015","2","15079","15985","31064"
"2015","1","21865","24640","46505"
"2014","2","14299","14812","29111"
