"Año","Periodo","Comunidades indígenas","Mejores bachilleres","Mejores bachilleres de municipios pobres","Población afrocolombiana","Victimas del conflicto armado interno en Colombia","Total"
"2020","2","17","23","4","6","0","50"
"2020","1","21","28","9","7","0","65"
"2019","2","52","29","21","21","0","123"
"2019","1","9","10","10","5","0","34"
"2018","2","26","35","22","10","0","93"
"2018","1","28","30","11","14","0","83"
"2017","2","26","32","14","5","0","77"
"2017","1","27","20","23","6","0","76"
"2016","2","33","23","25","4","0","85"
"2016","1","15","24","17","4","0","60"
"2015","2","20","36","29","2","0","87"
"2015","1","19","35","18","0","0","72"
"2014","2","15","34","16","0","0","65"
"2014","1","14","39","14","0","0","67"
"2013","2","25","42","26","0","0","93"
"2013","1","15","32","14","0","0","61"
"2012","2","24","31","23","0","0","78"
"2012","1","17","27","12","0","0","56"
"2011","2","14","39","12","0","0","65"
"2011","1","20","32","21","0","0","73"
"2010","2","16","22","16","0","0","54"
"2010","1","31","50","22","0","0","103"
"2009","2","16","26","14","0","0","56"
"2009","1","19","40","12","0","0","71"
