"Periodo";"Agronomía, veterinaria y afines";"Bellas artes";"Ciencias de la educación";"Ciencias de la salud";"Ciencias sociales y humanas";"Economía, administración, contaduría y afines";"Ingeniería, arquitectura, urbanismo y afines";"Matemáticas y ciencias naturales"
"2009-1";95;154;0;357;622;148;715;328
"2009-2";84;146;0;350;432;158;713;335
"2010-1";81;171;0;344;595;239;762;390
"2010-2";80;171;0;333;547;244;816;436
"2011-1";106;169;0;348;621;242;811;434
"2011-2";74;146;0;258;491;176;635;310
"2012-1";52;149;0;236;663;183;841;420
"2012-2";94;135;0;312;607;214;862;396
"2013-1";99;169;0;370;684;224;855;370
"2013-2";83;147;0;276;533;211;726;332
"2014-1";77;166;0;281;561;183;780;335
"2014-2";100;177;0;337;570;194;770;360
"2015-1";89;175;0;345;630;175;728;337
"2015-2";86;170;0;330;542;214;805;385
"2016-1";81;160;0;327;597;171;715;361
"2016-2";97;169;0;332;566;193;832;382
"2017-1";89;163;0;355;570;187;772;357
"2017-2";94;151;0;350;507;273;792;364
"2018-1";97;152;0;454;630;295;864;360
"2018-2";98;146;0;357;527;311;826;325
"2019-1";95;165;0;353;612;302;810;334
"2019-2";97;152;0;340;536;292;882;320
"2020-1";97;156;0;363;609;227;825;333
"2020-2";99;137;0;331;515;255;838;318
