"Año","Periodo","Especial","Regular","Total"
"2020","2","135","2358","2493"
"2020","1","242","2368","2610"
"2019","2","119","2500","2619"
"2019","1","251","2420","2671"
"2018","2","140","2450","2590"
"2018","1","241","2611","2852"
"2017","2","101","2430","2531"
"2017","1","181","2312","2493"
"2016","2","91","2480","2571"
"2016","1","180","2232","2412"
"2015","2","71","2461","2532"
"2015","1","177","2302","2479"
"2014","2","73","2435","2508"
"2014","1","247","2136","2383"
"2013","2","68","2240","2308"
"2013","1","190","2581","2771"
"2012","2","116","2504","2620"
"2012","1","188","2356","2544"
"2011","2","136","1954","2090"
"2011","1","203","2528","2731"
"2010","2","108","2519","2627"
"2010","1","183","2399","2582"
"2009","2","101","2117","2218"
"2009","1","161","2258","2419"
