"Año","Periodo","Colombiana","Extranjero","Sin información","Total"
"2020","2","2464","29","0","2493"
"2020","1","2580","28","2","2610"
"2019","2","2581","37","1","2619"
"2019","1","2641","29","1","2671"
"2018","2","2561","5","24","2590"
"2018","1","2819","6","27","2852"
"2017","2","2500","20","11","2531"
"2017","1","2468","19","6","2493"
"2016","2","2553","17","1","2571"
"2016","1","2400","12","0","2412"
"2015","2","2512","7","13","2532"
"2015","1","2460","1","18","2479"
"2014","2","2498","2","8","2508"
"2014","1","2368","0","15","2383"
"2013","2","2292","1","15","2308"
"2013","1","2761","0","10","2771"
"2012","2","2602","0","18","2620"
"2012","1","2534","0","10","2544"
"2011","2","","","","0"
"2011","1","2729","2","0","2731"
"2010","2","2623","4","0","2627"
"2010","1","2577","5","0","2582"
"2009","2","2214","4","0","2218"
"2009","1","2418","1","0","2419"
