"Año","Periodo","Oficial","Otros","Privado","Sin información","Total"
"2020","2","1062","51","1380","0","2493"
"2020","1","923","62","1625","0","2610"
"2019","2","1013","64","1542","0","2619"
"2019","1","918","71","1682","0","2671"
"2018","2","1002","68","1520","0","2590"
"2018","1","1014","105","1733","0","2852"
"2017","2","990","73","1465","3","2531"
"2017","1","912","56","1522","3","2493"
"2016","2","1061","66","1440","4","2571"
"2016","1","929","59","1421","3","2412"
"2015","2","1099","69","1362","2","2532"
"2015","1","941","71","1466","1","2479"
"2014","2","1152","78","1274","4","2508"
"2014","1","1032","63","1285","3","2383"
"2013","2","1045","46","1215","2","2308"
"2013","1","1216","33","1521","1","2771"
"2012","2","1206","60","1342","12","2620"
"2012","1","1056","31","1446","11","2544"
"2011","2","","","","","0"
"2011","1","1214","44","1469","4","2731"
"2010","2","1194","148","1283","2","2627"
"2010","1","1112","120","1345","5","2582"
