"Año","Periodo","Hombres","Mujeres","Total"
"2020","2","1541","952","2493"
"2020","1","1697","913","2610"
"2019","2","1682","937","2619"
"2019","1","1744","927","2671"
"2018","2","1704","886","2590"
"2018","1","1876","976","2852"
"2017","2","1713","818","2531"
"2017","1","1648","845","2493"
"2016","2","1661","910","2571"
"2016","1","1569","843","2412"
"2015","2","1743","789","2532"
"2015","1","1711","768","2479"
"2014","2","1760","748","2508"
"2014","1","1724","659","2383"
"2013","2","1657","651","2308"
"2013","1","1908","863","2771"
"2012","2","1827","793","2620"
"2012","1","1668","876","2544"
"2011","2","1462","628","2090"
"2011","1","1937","794","2731"
"2010","2","1751","876","2627"
"2010","1","1797","785","2582"
"2009","2","1337","881","2218"
"2009","1","1482","937","2419"
