"Año","Periodo","17 años o menos","18 a 20 años","21 a 25 años","26 o más años","Sin información","Total"
"2020","2","927","9916","12133","3555","1","26532"
"2020","1","875","9155","12687","3733","1","26451"
"2019","2","302","8998","12997","3887","0","26184"
"2019","1","815","8524","12662","3752","0","25753"
"2018","2","337","8474","12969","3833","0","25613"
"2018","1","1005","8164","12823","3577","0","25569"
"2017","2","893","8578","12447","3338","0","25256"
"2017","1","523","7414","13328","3833","0","25098"
"2016","2","828","8357","12602","3310","0","25097"
"2016","1","490","7133","13425","3888","0","24936"
"2015","2","942","8687","12158","3204","0","24991"
"2015","1","1184","8306","12298","3132","1","24921"
"2014","2","236","7538","13464","3692","1","24931"
"2014","1","1017","8322","12168","3167","1","24675"
"2013","2","730","8837","11789","3168","4","24528"
"2013","1","455","7906","12632","3669","5","24667"
"2012","2","920","9011","10938","3008","6","23883"
"2012","1","1472","8858","10363","2977","11","23681"
"2011","2","","","","","","0"
"2011","1","653","7914","11046","3516","18","23147"
"2010","2","1177","8216","10167","3091","20","22671"
"2010","1","715","7110","11093","3718","17","22653"
"2009","2","1142","7716","10292","3302","20","22472"
"2009","1","695","6853","11131","3846","0","22525"
