"Año","Periodo","Estrato 2 o menos","Estrato 3","Estrato 4 o más","ND/NE","Total"
"2020","2","13167","9728","3423","214","26532"
"2020","1","12739","9898","3603","211","26451"
"2019","2","12563","9914","3479","228","26184"
"2019","1","12258","9815","3420","260","25753"
"2018","2","12188","9829","3327","269","25613"
"2018","1","12087","9856","3318","308","25569"
"2017","2","11845","9828","3266","317","25256"
"2017","1","11725","9792","3211","370","25098"
"2016","2","11668","9893","3147","389","25097"
"2016","1","11441","9914","3157","424","24936"
"2015","2","11352","10005","3122","512","24991"
"2015","1","11189","10084","3065","583","24921"
"2014","2","11182","10071","3036","642","24931"
"2014","1","10947","10092","3044","592","24675"
"2013","2","10627","10146","3085","670","24528"
"2013","1","10435","10266","3176","790","24667"
"2012","2","10133","10018","3085","647","23883"
"2012","1","9890","10105","3090","596","23681"
"2011","2","","","","","0"
"2011","1","9354","10172","3098","523","23147"
"2010","2","9000","10141","3039","491","22671"
"2010","1","8767","10253","3168","465","22653"
"2009","2","8597","10304","3114","457","22472"
"2009","1","8443","10412","3193","477","22525"
