"Año","Periodo","Colombiana","Extranjero","Sin información","Total"
"2020","2","26279","252","1","26532"
"2020","1","26204","245","2","26451"
"2019","2","25948","235","1","26184"
"2019","1","25544","205","4","25753"
"2018","2","25425","108","80","25613"
"2018","1","25401","98","70","25569"
"2017","2","25107","100","49","25256"
"2017","1","24968","88","42","25098"
"2016","2","24984","74","39","25097"
"2016","1","24832","67","37","24936"
"2015","2","24893","20","78","24991"
"2015","1","24838","14","69","24921"
"2014","2","24864","16","51","24931"
"2014","1","24605","13","57","24675"
"2013","2","24465","21","42","24528"
"2013","1","24605","27","35","24667"
"2012","2","23819","32","32","23883"
"2012","1","23626","33","22","23681"
"2011","2","","","","0"
"2011","1","23103","44","0","23147"
"2010","2","22623","48","0","22671"
"2010","1","22599","54","0","22653"
"2009","2","22420","51","1","22472"
"2009","1","22475","49","1","22525"
