"Año","Periodo","Oficial","Otros","Privado","Sin información","Total"
"2020","2","11095","592","14800","45","26532"
"2020","1","10806","598","15002","45","26451"
"2019","2","10774","603","14754","53","26184"
"2019","1","10651","593","14446","63","25753"
"2018","2","10738","590","14208","77","25613"
"2018","1","10767","689","14113","0","25569"
"2017","2","10805","533","13818","100","25256"
"2017","1","10756","491","13699","152","25098"
"2016","2","10923","470","13534","170","25097"
"2016","1","10864","458","13391","223","24936"
"2015","2","10979","436","13315","261","24991"
"2015","1","10951","427","13236","307","24921"
"2014","2","11128","412","13042","349","24931"
"2014","1","10942","365","12983","385","24675"
"2013","2","10833","354","12906","435","24528"
"2013","1","10839","354","13004","470","24667"
"2012","2","10512","360","12535","476","23883"
"2012","1","10295","336","12528","522","23681"
"2011","2","","","","","0"
"2011","1","10023","353","12181","590","23147"
"2010","2","9700","1323","11023","625","22671"
"2010","1","9571","1345","11054","683","22653"
