"Año","Periodo","PEAMA - Amazonía","PEAMA - Caribe","PEAMA - Orinoquía","PEAMA - Sede Bogotá - Sumapaz","PEAMA - Tumaco","Total"
"2020","2","331","91","610","77","242","1351"
"2020","1","305","82","564","77","201","1229"
"2019","2","290","93","512","54","177","1126"
"2019","1","291","82","480","55","153","1061"
"2018","2","270","79","426","40","106","921"
"2018","1","260","84","384","27","74","829"
"2017","2","230","78","354","27","52","741"
"2017","1","238","70","328","29","31","696"
"2016","2","217","70","292","","5","584"
"2016","1","208","70","283","","2","563"
"2015","2","196","75","274","","0","545"
"2015","1","184","72","262","","0","518"
"2014","2","156","76","229","","","461"
"2014","1","215","84","272","","","571"
"2013","2","109","61","142","","","312"
"2013","1","114","64","150","","","328"
"2012","2","79","48","98","","","225"
"2012","1","61","35","83","","","179"
"2011","2","38","25","65","","","128"
"2011","1","16","19","58","","","93"
"2010","2","12","7","44","","","63"
"2010","1","5","0","30","","","35"
"2009","2","5","0","15","","","20"
"2009","1","0","0","8","","","8"
