"Periodo","17 años o menos","18 a 20 años","21 a 25 años","26 o más años","Sin información"
"2008-2",12,5,2,0,0
"2009-1",34,5,1,0,0
"2009-2",2,4,1,0,0
"2010-1",36,5,8,1,0
"2010-2",9,4,0,2,0
"2011-1",26,9,4,1,0
"2011-2",7,4,4,0,0
"2012-1",26,11,2,1,0
"2012-2",5,4,3,0,0
"2013-1",24,8,3,1,0
"2013-2",6,10,2,1,0
"2014-1",16,1,1,0,0
"2014-2",3,2,3,0,0
"2015-1",29,3,2,0,0
"2015-2",1,3,0,1,0
"2016-1",30,7,2,0,0
"2016-2",4,12,3,1,0
"2017-1",31,11,2,1,0
"2017-2",3,18,2,1,0
"2018-1",49,14,0,1,0
"2018-2",6,10,1,0,0
"2019-1",60,15,8,1,0
"2019-2",4,4,1,0,0
"2020-1",25,16,1,1,0
"2020-2",13,20,5,1,0
