"Periodo","17 años o menos","18 a 20 años","21 a 25 años","26 o más años","Sin información"
"2008-2",26,23,8,1,0
"2009-1",206,59,5,0,2
"2009-2",13,10,3,0,0
"2010-1",227,78,20,8,0
"2010-2",13,16,0,4,0
"2011-1",180,71,14,1,0
"2011-2",26,17,11,0,0
"2012-1",120,51,9,6,0
"2012-2",16,25,8,4,0
"2013-1",52,24,10,2,0
"2013-2",36,51,19,3,0
"2014-1",74,24,10,8,0
"2014-2",11,13,6,1,0
"2015-1",138,30,8,2,0
"2015-2",12,16,6,1,0
"2016-1",153,58,14,4,0
"2016-2",26,37,21,12,0
"2017-1",119,44,9,5,0
"2017-2",38,55,15,9,0
"2018-1",142,58,2,4,0
"2018-2",38,44,11,9,0
"2019-1",192,45,19,4,0
"2019-2",37,37,10,3,0
"2020-1",106,61,10,9,0
"2020-2",27,45,20,8,0
