"Periodo","17 años o menos","18 a 20 años","21 a 25 años","26 o más años","Sin información"
"2009-1",8,27,4,1,0
"2009-2",10,24,5,1,0
"2010-1",6,35,13,4,0
"2010-2",10,31,14,7,0
"2011-1",11,41,31,7,0
"2011-2",,,,,
"2012-1",19,50,39,6,0
"2012-2",12,48,44,6,0
"2013-1",4,67,59,11,0
"2013-2",6,69,54,9,0
"2014-1",17,72,58,13,0
"2014-2",1,57,68,12,0
"2015-1",5,54,60,13,0
"2015-2",0,55,52,23,0
"2016-1",7,40,74,22,0
"2016-2",6,46,69,17,0
"2017-1",12,45,72,21,0
"2017-2",12,57,67,18,0
"2018-1",22,77,65,20,0
"2018-2",6,81,59,16,0
"2019-1",18,107,70,13,0
"2019-2",2,102,62,12,0
