"Año","Periodo","Agronomía, veterinaria y afines","Bellas artes","Ciencias de la educación","Ciencias de la salud","Ciencias sociales y humanas","Economía, administración, contaduría y afines","Ingeniería, arquitectura, urbanismo y afines","Matemáticas y ciencias naturales","Sin información","Total"
"2021","1","282","295","0","457","993","691","3299","621","0","6638"
"2020","2","266","226","0","403","844","597","2922","581","0","5839"
"2020","1","290","241","0","535","1092","682","3408","755","0","7003"
"2019","2","248","226","0","436","911","597","3132","613","0","6163"
"2019","1","295","241","0","572","1098","790","3268","687","0","6951"
"2018","2","302","225","0","490","936","602","3133","595","0","6283"
"2018","1","315","233","0","693","1122","751","3319","728","35","7196"
"2017","2","245","223","0","446","845","562","2970","632","0","5923"
"2017","1","281","248","0","542","1046","641","3234","721","0","6713"
"2016","2","247","237","0","431","905","450","2987","625","0","5882"
"2016","1","277","246","0","499","1007","613","3106","694","0","6442"
"2015","2","217","241","0","411","857","466","2842","588","0","5622"
"2015","1","274","268","0","494","1010","588","3092","639","0","6365"
"2014","2","241","271","0","415","835","473","2910","582","0","5727"
"2014","1","219","234","0","367","855","506","2857","550","0","5588"
"2013","2","150","215","0","336","756","436","2634","507","0","5034"
"2013","1","226","253","0","488","980","654","3092","629","0","6322"
"2012","2","153","212","0","249","904","528","2883","657","0","5586"
"2012","1","297","220","0","439","969","614","3305","743","5","6592"
"2011","2","190","239","0","391","863","442","2951","626","7","5709"
"2011","1","272","235","0","447","1062","630","3270","779","8","6703"
"2010","2","207","235","0","365","960","539","2863","651","3","5823"
"2010","1","245","253","0","429","1004","618","3164","741","13","6467"
"2009","2","237","225","0","400","727","444","2855","596","1","5485"
"2009","1","185","183","0","421","893","452","2792","587","2","5515"
"2008","2","261","217","0","380","741","473","2853","554","2","5481"
"2008","1","254","220","0","420","938","463","2812","588","0","5695"
