"Año","Periodo","Colombiana","Extranjero","Sin información","Total"
"2021","1","6429","209","0","6638"
"2020","2","5637","202","0","5839"
"2020","1","6918","85","0","7003"
"2019","2","6085","78","0","6163"
"2019","1","6882","69","0","6951"
"2018","2","6221","62","0","6283"
"2018","1","7118","78","0","7196"
"2017","2","5874","49","0","5923"
"2017","1","6668","45","0","6713"
"2016","2","5841","41","0","5882"
"2016","1","6412","30","0","6442"
"2015","2","5582","40","0","5622"
"2015","1","6327","38","0","6365"
"2014","2","5697","30","0","5727"
"2014","1","5563","25","0","5588"
"2013","2","5001","33","0","5034"
"2013","1","6300","22","0","6322"
"2012","2","5564","22","0","5586"
"2012","1","6566","26","0","6592"
"2011","2","5674","35","0","5709"
