"Año","Periodo","Comunidades indígenas","De La Paz","Mejores bachilleres","Mejores bachilleres de municipios pobres","Población afrocolombiana","Victimas del conflicto armado interno en Colombia","Total"
"2021","1","151","240","54","69","149","185","848"
"2020","2","235","230","2","0","66","369","902"
"2020","1","191","240","94","102","205","158","990"
"2019","2","172","240","25","4","40","242","723"
"2019","1","178","","76","123","155","202","734"
"2018","2","186","","28","6","40","174","434"
"2018","1","172","","108","157","179","113","729"
"2017","2","153","","38","2","36","112","341"
"2017","1","162","","82","135","147","39","565"
"2016","2","169","","27","4","31","69","300"
"2016","1","160","","100","147","132","14","553"
"2015","2","141","","31","1","13","6","192"
"2015","1","144","","76","135","150","11","516"
"2014","2","170","","34","2","20","2","228"
"2014","1","128","","81","91","110","3","413"
"2013","2","102","","29","3","13","0","147"
"2013","1","136","","86","153","138","","513"
"2012","2","145","","42","0","33","","220"
"2012","1","193","","93","220","195","","701"
"2011","2","134","","52","6","23","","215"
"2011","1","141","","78","224","163","","606"
"2010","2","109","","35","56","21","","221"
"2010","1","108","","77","168","98","","451"
"2009","2","80","","37","72","","","189"
"2009","1","80","","135","126","","","341"
"2008","2","95","","113","73","","","281"
"2008","1","57","","173","162","","","392"
