"Año","Periodo","PEAMA - Amazonía","PEAMA - Caribe","PEAMA - Orinoquía","PEAMA - Sede Bogotá - Sumapaz","PEAMA - Sede Manizales - Caldas","PEAMA - Sede Medellín - Sinifaná","PEAMA - Tumaco","Total"
"2021","1","115","74","252","68","0","0","210","719"
"2020","2","121","39","226","0","0","0","197","583"
"2020","1","132","43","264","25","0","0","200","664"
"2019","2","95","9","256","0","0","0","79","439"
"2019","1","132","84","264","0","0","0","261","741"
"2018","2","124","17","237","13","0","119","172","682"
"2018","1","132","64","264","0","0","","220","680"
"2017","2","83","24","171","0","0","","73","351"
"2017","1","109","45","221","13","37","","158","583"
"2016","2","59","20","94","20","","","90","283"
"2016","1","90","39","89","","","","56","274"
"2015","2","53","5","54","","","","54","166"
"2015","1","89","34","81","","","","51","255"
"2014","2","68","8","89","","","","","165"
"2014","1","77","18","110","","","","","205"
"2013","2","76","19","75","","","","","170"
"2013","1","90","36","90","","","","","216"
"2012","2","78","12","77","","","","","167"
"2012","1","83","40","99","","","","","222"
"2011","2","80","15","68","","","","","163"
"2011","1","83","40","102","","","","","225"
"2010","2","71","15","44","","","","","130"
"2010","1","51","50","79","","","","","180"
"2009","2","39","7","55","","","","","101"
"2009","1","0","40","65","","","","","105"
"2008","2","51","19","42","","","","","112"
"2008","1","0","0","67","","","","","67"
