"Año","Periodo","PAES","PEAMA","Regular","Total"
"2021","1","848","719","5071","6638"
"2020","2","902","583","4354","5839"
"2020","1","990","664","5349","7003"
"2019","2","723","439","5001","6163"
"2019","1","734","741","5476","6951"
"2018","2","434","682","5167","6283"
"2018","1","729","680","5787","7196"
"2017","2","341","351","5231","5923"
"2017","1","565","583","5565","6713"
"2016","2","300","283","5299","5882"
"2016","1","553","274","5615","6442"
"2015","2","192","166","5264","5622"
"2015","1","516","255","5594","6365"
"2014","2","228","165","5334","5727"
"2014","1","413","205","4970","5588"
"2013","2","147","170","4717","5034"
"2013","1","513","216","5593","6322"
"2012","2","220","167","5199","5586"
"2012","1","701","222","5669","6592"
"2011","2","215","163","5331","5709"
"2011","1","606","225","5872","6703"
"2010","2","221","130","5472","5823"
"2010","1","451","180","5836","6467"
"2009","2","189","101","5195","5485"
"2009","1","341","105","5069","5515"
"2008","2","281","112","5088","5481"
"2008","1","392","67","5236","5695"
