"Año","Periodo","17 años o menos","18 a 20 años","21 a 25 años","26 o más años","Sin información","Total"
"2021","1","31125","19463","6962","1169","10","58729"
"2020","2","17255","15002","5820","2332","56","40465"
"2020","1","37769","17431","4723","1919","42","61884"
"2019","2","18470","14563","5048","1730","33","39844"
"2019","1","50959","15979","5957","2586","200","75681"
"2018","2","19897","16214","5923","2153","1","44188"
"2018","1","41935","18992","5379","2090","13","68409"
"2017","2","19212","16174","5952","1894","8","43240"
"2017","1","43606","19440","5692","1977","12","70727"
"2016","2","16172","14812","5714","2154","6","38858"
"2016","1","41397","18959","5321","2019","10","67706"
"2015","2","16521","16973","5845","2015","5","41359"
"2015","1","39519","17540","4501","1758","2","63320"
"2014","2","16408","15071","5398","1760","2","38639"
"2014","1","41909","18171","5130","1842","3","67055"
"2013","2","17296","16259","5719","1865","10","41149"
"2013","1","43440","18461","5184","1709","8","68802"
"2012","2","14929","13602","4773","1490","14","34808"
"2012","1","45383","19209","5617","1776","16","72001"
"2011","2","18735","17683","6393","1915","16","44742"
"2011","1","44440","18780","5576","1794","41","70631"
"2010","2","16859","15645","6040","1865","24","40433"
"2010","1","41012","18186","5506","1730","49","66483"
"2009","2","15742","14492","5337","1571","31","37173"
"2009","1","36252","14232","4183","1281","54","56002"
"2008","2","15947","14748","5368","1550","38","37651"
"2008","1","36154","15223","4474","1272","55","57178"
