"Año","Periodo","Estrato 2 o menos","Estrato 3","Estrato 4 o más","ND/NE","Total"
"2021","1","36634","18235","3301","559","58729"
"2020","2","24795","11961","2980","729","40465"
"2020","1","36898","19257","4610","1119","61884"
"2019","2","23067","12831","3371","575","39844"
"2019","1","47188","21950","5156","1387","75681"
"2018","2","25644","14095","3778","671","44188"
"2018","1","40900","21165","5147","1197","68409"
"2017","2","24329","14441","3900","570","43240"
"2017","1","42012","22525","5100","1090","70727"
"2016","2","22066","13060","3167","565","38858"
"2016","1","39783","22269","4713","941","67706"
"2015","2","23484","14192","3158","525","41359"
"2015","1","36777","21398","4390","755","63320"
"2014","2","21843","13352","2930","514","38639"
"2014","1","37768","23659","4883","745","67055"
"2013","2","23422","14437","2837","453","41149"
"2013","1","38638","24467","4944","753","68802"
"2012","2","19807","12313","2338","350","34808"
"2012","1","40572","25398","5317","714","72001"
"2011","2","24992","16229","3100","421","44742"
"2011","1","40215","24965","4838","613","70631"
"2010","2","22289","15027","2617","500","40433"
"2010","1","36362","24906","4742","473","66483"
"2009","2","20633","13666","2475","399","37173"
"2009","1","30342","21317","4006","337","56002"
"2008","2","20135","14536","2581","399","37651"
"2008","1","28496","23113","4388","1181","57178"
