"Año","Periodo","Especial","Regular","Total"
"2021","1","9471","49258","58729"
"2020","2","10734","29731","40465"
"2020","1","12750","49134","61884"
"2019","2","7421","32423","39844"
"2019","1","19619","56062","75681"
"2018","2","8054","36134","44188"
"2018","1","12887","55522","68409"
"2017","2","5335","37905","43240"
"2017","1","9717","61010","70727"
"2016","2","3781","35077","38858"
"2016","1","6923","60783","67706"
"2015","2","2877","38482","41359"
"2015","1","5861","57459","63320"
"2014","2","2080","36559","38639"
"2014","1","4717","62338","67055"
"2013","2","2016","39133","41149"
"2013","1","5074","63728","68802"
"2012","2","1565","33243","34808"
"2012","1","6423","65578","72001"
"2011","2","1539","43203","44742"
"2011","1","5972","64659","70631"
"2010","2","1521","38912","40433"
"2010","1","3272","63211","66483"
"2009","2","1460","35713","37173"
"2009","1","2603","53399","56002"
"2008","2","1734","35917","37651"
"2008","1","2181","54997","57178"
