"Año","Periodo","Colombiana","Extranjero","Sin información","Total"
"2021","1","57379","1350","0","58729"
"2020","2","38917","1548","0","40465"
"2020","1","61398","486","0","61884"
"2019","2","39538","306","0","39844"
"2019","1","75215","466","0","75681"
"2018","2","43886","301","1","44188"
"2018","1","68026","383","0","68409"
"2017","2","43004","236","0","43240"
"2017","1","70463","264","0","70727"
"2016","2","38703","155","0","38858"
"2016","1","67502","204","0","67706"
"2015","2","41183","176","0","41359"
"2015","1","63153","167","0","63320"
"2014","2","38487","152","0","38639"
"2014","1","66892","163","0","67055"
"2013","2","41032","117","0","41149"
"2013","1","68656","146","0","68802"
"2012","2","34722","86","0","34808"
"2012","1","71817","184","0","72001"
"2011","2","44614","128","0","44742"
