"Año","Periodo","Comunidades indígenas","De La Paz","Mejores bachilleres","Mejores bachilleres de municipios pobres","Población afrocolombiana","Victimas del conflicto armado interno en Colombia","Total"
"2021","1","1534","712","124","88","1015","2383","5856"
"2020","2","1898","797","27","3","130","4416","7271"
"2020","1","1966","559","193","262","1854","3483","8317"
"2019","2","1547","685","60","4","83","2302","4681"
"2019","1","2294","","116","387","1536","8481","12814"
"2018","2","1730","","65","6","146","2177","4124"
"2018","1","1740","","205","507","2064","3722","8238"
"2017","2","1516","","100","4","163","1249","3032"
"2017","1","1786","","166","484","2065","1027","5528"
"2016","2","1350","","50","5","124","876","2405"
"2016","1","1774","","166","661","1534","397","4532"
"2015","2","1237","","54","3","82","192","1568"
"2015","1","1442","","148","489","1665","200","3944"
"2014","2","1185","","60","4","94","45","1388"
"2014","1","1477","","143","326","1275","86","3307"
"2013","2","1132","","45","5","86","4","1272"
"2013","1","1300","","164","1009","1344","","3817"
"2012","2","852","","80","5","78","","1015"
"2012","1","1490","","217","1006","1913","","4626"
"2011","2","842","","81","7","66","","996"
"2011","1","1091","","189","1680","1472","","4432"
"2010","2","781","","61","177","80","","1099"
"2010","1","612","","196","952","439","","2199"
"2009","2","724","","71","315","","","1110"
"2009","1","642","","311","899","","","1852"
"2008","2","870","","199","276","","","1345"
"2008","1","558","","489","881","","","1928"
