"Año","Periodo","PEAMA - Amazonía","PEAMA - Caribe","PEAMA - Orinoquía","PEAMA - Sede Bogotá - Sumapaz","PEAMA - Sede Manizales - Caldas","PEAMA - Sede Medellín - Sinifaná","PEAMA - Tumaco","Total"
"2021","1","573","210","1558","68","0","0","1206","3615"
"2020","2","667","100","1222","0","0","0","1474","3463"
"2020","1","834","186","1585","103","0","0","1725","4433"
"2019","2","309","87","1387","0","0","0","957","2740"
"2019","1","957","260","2040","0","0","0","3548","6805"
"2018","2","842","102","1167","47","8","502","1262","3930"
"2018","1","771","206","1557","0","0","","2115","4649"
"2017","2","377","117","843","0","0","","966","2303"
"2017","1","737","177","2002","61","104","","1108","4189"
"2016","2","242","96","306","64","","","668","1376"
"2016","1","432","229","460","","","","1270","2391"
"2015","2","343","35","269","","","","662","1309"
"2015","1","440","178","806","","","","493","1917"
"2014","2","311","31","350","","","","","692"
"2014","1","532","116","762","","","","","1410"
"2013","2","373","109","262","","","","","744"
"2013","1","550","88","619","","","","","1257"
"2012","2","255","53","242","","","","","550"
"2012","1","696","186","915","","","","","1797"
"2011","2","271","54","218","","","","","543"
"2011","1","403","266","871","","","","","1540"
"2010","2","252","33","137","","","","","422"
"2010","1","335","333","405","","","","","1073"
"2009","2","159","26","165","","","","","350"
"2009","1","0","272","479","","","","","751"
"2008","2","212","58","119","","","","","389"
"2008","1","0","0","253","","","","","253"
