"Año","Periodo","Amazonía","Bogotá","Caribe","De La Paz","Manizales","Medellín","Orinoquía","Palmira","Tumaco","Universidad","Total"
"2021","1","573","43114","210","712","1690","6785","1558","613","1206","2268","58729"
"2020","2","667","27569","100","797","1572","4505","1222","849","1474","1710","40465"
"2020","1","834","42897","186","559","1996","7750","1585","768","1725","3584","61884"
"2019","2","309","28820","87","685","1490","3738","1387","739","957","1632","39844"
"2019","1","957","51333","260","","2532","10032","2040","1218","3548","3761","75681"
"2018","2","842","30911","102","","1694","5708","1167","834","1262","1668","44188"
"2018","1","771","47403","206","","2293","9257","1557","1004","2115","3803","68409"
"2017","2","377","31923","117","","1872","4750","843","900","966","1492","43240"
"2017","1","737","50313","177","","2650","8869","2002","979","1108","3892","70727"
"2016","2","242","28980","96","","1796","4666","306","829","668","1275","38858"
"2016","1","432","48399","229","","2515","9436","460","986","1270","3979","67706"
"2015","2","343","31064","35","","1709","5097","269","1013","662","1167","41359"
"2015","1","440","46505","178","","2205","8365","806","922","493","3406","63320"
"2014","2","311","29111","31","","1659","5146","350","940","","1091","38639"
