"Año","Periodo","Hombres","Mujeres","Total"
"2021","1","27795","30934","58729"
"2020","2","19994","20471","40465"
"2020","1","30208","31676","61884"
"2019","2","19791","20053","39844"
"2019","1","36897","38784","75681"
"2018","2","22251","21937","44188"
"2018","1","32988","35421","68409"
"2017","2","21406","21834","43240"
"2017","1","34158","36569","70727"
"2016","2","19650","19208","38858"
"2016","1","32937","34769","67706"
"2015","2","20710","20649","41359"
"2015","1","30640","32680","63320"
"2014","2","19757","18882","38639"
"2014","1","32169","34886","67055"
"2013","2","20723","20426","41149"
"2013","1","33145","35657","68802"
"2012","2","17915","16893","34808"
"2012","1","34886","37115","72001"
"2011","2","22564","22178","44742"
"2011","1","34046","36585","70631"
"2010","2","20529","19904","40433"
"2010","1","32301","34182","66483"
"2009","2","18590","18583","37173"
"2009","1","26955","29047","56002"
"2008","2","18878","18773","37651"
"2008","1","27502","29676","57178"
