"Año","Periodo","Comunidades indígenas","Mejores bachilleres","Mejores bachilleres de municipios pobres","Población afrocolombiana","Victimas del conflicto armado interno en Colombia","Total"
"2020","2","37","24","11","17","0","89"
"2020","1","45","42","29","17","2","135"
"2019","2","91","47","46","38","1","223"
"2019","1","15","11","16","8","0","50"
"2018","2","52","46","53","29","0","180"
"2018","1","51","37","48","45","0","181"
"2017","2","52","46","44","19","0","161"
"2017","1","38","29","51","19","0","137"
"2016","2","45","33","52","13","0","143"
"2016","1","34","36","38","11","0","119"
"2015","2","33","50","49","6","0","138"
"2015","1","33","46","45","2","0","126"
"2014","2","29","53","26","1","0","109"
"2014","1","25","54","36","0","0","115"
"2013","2","41","57","42","0","0","140"
"2013","1","23","40","29","0","0","92"
"2012","2","33","50","41","0","0","124"
"2012","1","30","38","21","0","0","89"
"2011","2","22","43","22","0","0","87"
"2011","1","25","52","32","0","0","109"
"2010","2","26","40","31","0","0","97"
"2010","1","40","70","32","0","0","142"
"2009","2","21","33","17","0","0","71"
"2009","1","31","58","25","0","0","114"
