"Año","Periodo","PAES","PEAA","PEAMA","Regular","Total"
"2020","2","89","","42","1875","2006"
"2020","1","135","","67","2761","2963"
"2019","2","223","","119","4259","4601"
"2019","1","50","","15","947","1012"
"2018","2","180","","54","2703","2937"
"2018","1","181","","50","2787","3018"
"2017","2","161","","48","2751","2960"
"2017","1","137","","43","2882","3062"
"2016","2","143","","39","2686","2868"
"2016","1","119","","19","2701","2839"
"2015","2","138","","24","2748","2910"
"2015","1","126","","17","2412","2555"
"2014","2","109","1","8","2465","2583"
"2014","1","115","","4","2222","2341"
"2013","2","140","","2","2599","2741"
"2013","1","92","","","2182","2274"
"2012","2","124","","","2713","2837"
"2012","1","89","","","1993","2082"
"2011","2","87","","","1971","2058"
"2011","1","109","","","2809","2918"
"2010","2","97","2","","2296","2395"
"2010","1","142","","","3653","3795"
"2009","2","71","","","2129","2200"
"2009","1","114","1","","3343","3458"
