"Año","Periodo","Agronomía, veterinaria y afines","Bellas artes","Ciencias de la educación","Ciencias de la salud","Ciencias sociales y humanas","Economía, administración, contaduría y afines","Ingeniería, arquitectura, urbanismo y afines","Matemáticas y ciencias naturales","Total"
"2020","2","221","200","0","374","735","520","2567","512","5129"
"2020","1","200","216","0","394","820","504","2592","564","5290"
"2019","2","191","209","0","376","750","493","2691","521","5231"
"2019","1","216","217","0","405","839","561","2594","538","5370"
"2018","2","226","194","0","403","749","508","2575","478","5133"
"2018","1","215","199","0","495","829","535","2594","521","5388"
"2017","2","201","199","0","369","688","450","2509","515","4931"
"2017","1","195","214","0","380","733","469","2510","512","5013"
"2016","2","183","214","0","359","754","372","2569","513","4964"
"2016","1","183","209","0","348","745","437","2406","532","4860"
"2015","2","174","228","0","349","690","384","2400","494","4719"
"2015","1","190","237","0","359","765","443","2469","450","4913"
"2014","2","191","247","0","352","688","389","2500","475","4842"
"2014","1","110","203","0","291","654","321","2271","428","4278"
"2013","2","120","197","0","297","632","377","2224","437","4284"
"2013","1","200","230","0","381","795","517","2449","490","5062"
"2012","2","178","192","0","312","746","445","2355","510","4738"
"2012","1","196","200","0","236","778","475","2622","544","5051"
"2011","2","141","173","0","258","628","355","1811","380","3746"
"2011","1","230","210","0","348","842","513","2644","598","5385"
"2010","2","163","213","0","333","712","458","2343","515","4737"
"2010","1","191","233","0","344","745","501","2539","543","5096"
"2009","2","181","201","0","350","550","338","2107","418","4145"
"2009","1","155","169","0","357","701","314","2106","414","4216"
