"Año","Periodo","17 años o menos","18 a 20 años","21 a 25 años","26 o más años","Sin información","Total"
"2020","2","777","3119","1019","214","0","5129"
"2020","1","1682","2906","542","160","0","5290"
"2019","2","276","3578","1091","286","0","5231"
"2019","1","1436","3019","663","251","1","5370"
"2018","2","302","3315","1193","323","0","5133"
"2018","1","1778","2840","615","155","0","5388"
"2017","2","786","2791","1053","301","0","4931"
"2017","1","1011","3100","675","227","0","5013"
"2016","2","746","2845","1090","283","0","4964"
"2016","1","897","2937","818","208","0","4860"
"2015","2","813","2679","960","267","0","4719"
"2015","1","1961","2228","565","159","0","4913"
"2014","2","209","3192","1138","303","0","4842"
"2014","1","1576","2009","533","160","0","4278"
"2013","2","632","2608","822","222","0","4284"
"2013","1","716","3407","737","202","0","5062"
"2012","2","778","2870","840","249","1","4738"
"2012","1","2262","1981","628","180","0","5051"
"2011","2","","","","","","0"
"2011","1","1037","3328","787","230","3","5385"
"2010","2","925","2663","872","275","2","4737"
"2010","1","1058","3147","683","201","7","5096"
"2009","2","970","2242","728","200","5","4145"
"2009","1","1024","2588","451","153","0","4216"
