"Año","Periodo","Estrato 2 o menos","Estrato 3","Estrato 4 o más","ND/NE","Total"
"2020","2","3174","1517","364","74","5129"
"2020","1","2894","1711","640","45","5290"
"2019","2","2973","1665","550","43","5231"
"2019","1","2883","1726","695","66","5370"
"2018","2","2819","1704","563","47","5133"
"2018","1","2699","1880","731","78","5388"
"2017","2","2569","1711","597","54","4931"
"2017","1","2506","1782","665","60","5013"
"2016","2","2627","1740","547","50","4964"
"2016","1","2388","1759","662","51","4860"
"2015","2","2476","1641","581","21","4719"
"2015","1","2353","1815","712","33","4913"
"2014","2","2538","1737","523","44","4842"
"2014","1","2159","1586","513","20","4278"
"2013","2","2295","1533","428","28","4284"
"2013","1","2390","1932","701","39","5062"
"2012","2","2465","1729","516","28","4738"
"2012","1","2499","1884","626","42","5051"
"2011","2","","","","","0"
"2011","1","2578","2076","699","32","5385"
"2010","2","2316","1885","506","30","4737"
"2010","1","2323","2016","713","44","5096"
"2009","2","2105","1602","413","25","4145"
"2009","1","1738","1825","623","30","4216"
