"Año","Periodo","Especial","Regular","Total"
"2020","2","1191","3938","5129"
"2020","1","1199","4091","5290"
"2019","2","912","4319","5231"
"2019","1","1144","4226","5370"
"2018","2","796","4337","5133"
"2018","1","950","4438","5388"
"2017","2","522","4409","4931"
"2017","1","750","4263","5013"
"2016","2","449","4515","4964"
"2016","1","539","4321","4860"
"2015","2","287","4432","4719"
"2015","1","541","4372","4913"
"2014","2","283","4559","4842"
"2014","1","628","3650","4278"
"2013","2","270","4014","4284"
"2013","1","550","4512","5062"
"2012","2","331","4407","4738"
"2012","1","648","4403","5051"
"2011","2","260","3486","3746"
"2011","1","576","4809","5385"
"2010","2","248","4489","4737"
"2010","1","440","4656","5096"
"2009","2","224","3921","4145"
"2009","1","324","3892","4216"
