"Año","Periodo","Colombiana","Extranjero","Sin información","Total"
"2020","2","5075","48","6","5129"
"2020","1","5232","54","4","5290"
"2019","2","5173","57","1","5231"
"2019","1","5318","51","1","5370"
"2018","2","5092","17","24","5133"
"2018","1","5333","8","47","5388"
"2017","2","4885","29","17","4931"
"2017","1","4982","23","8","5013"
"2016","2","4929","32","3","4964"
"2016","1","4839","18","3","4860"
"2015","2","4688","12","19","4719"
"2015","1","4885","3","25","4913"
"2014","2","4825","3","14","4842"
"2014","1","4258","0","20","4278"
"2013","2","4255","1","28","4284"
"2013","1","5047","0","15","5062"
"2012","2","4719","0","19","4738"
"2012","1","5032","1","18","5051"
"2011","2","","","","0"
"2011","1","5380","5","0","5385"
"2010","2","4731","6","0","4737"
"2010","1","5090","6","0","5096"
"2009","2","4141","4","0","4145"
"2009","1","4215","1","0","4216"
