"Año","Periodo","Oficial","Otros","Privado","Sin información","Total"
"2020","2","3104","86","1939","0","5129"
"2020","1","2838","90","2362","0","5290"
"2019","2","2931","101","2199","0","5231"
"2019","1","2793","94","2483","0","5370"
"2018","2","2767","120","2246","0","5133"
"2018","1","2663","140","2585","0","5388"
"2017","2","2619","120","2188","4","4931"
"2017","1","2529","89","2390","5","5013"
"2016","2","2672","104","2182","6","4964"
"2016","1","2463","101","2291","5","4860"
"2015","2","2520","116","2079","4","4719"
"2015","1","2412","116","2384","1","4913"
"2014","2","2714","111","2010","7","4842"
"2014","1","2132","90","2053","3","4278"
"2013","2","2304","96","1882","2","4284"
"2013","1","2582","73","2403","4","5062"
"2012","2","2580","114","2027","17","4738"
"2012","1","2598","84","2354","15","5051"
"2011","2","","","","","0"
"2011","1","2753","113","2511","8","5385"
"2010","2","2414","226","2094","3","4737"
"2010","1","2481","185","2425","5","5096"
