"Año","Periodo","Hombres","Mujeres","Total"
"2020","2","3028","2101","5129"
"2020","1","3402","1888","5290"
"2019","2","3302","1929","5231"
"2019","1","3424","1946","5370"
"2018","2","3358","1775","5133"
"2018","1","3506","1882","5388"
"2017","2","3288","1643","4931"
"2017","1","3314","1699","5013"
"2016","2","3154","1810","4964"
"2016","1","3088","1772","4860"
"2015","2","3158","1561","4719"
"2015","1","3332","1581","4913"
"2014","2","3322","1520","4842"
"2014","1","3095","1183","4278"
"2013","2","3029","1255","4284"
"2013","1","3480","1582","5062"
"2012","2","3273","1465","4738"
"2012","1","3280","1771","5051"
"2011","2","2532","1214","3746"
"2011","1","3721","1664","5385"
"2010","2","3163","1574","4737"
"2010","1","3490","1606","5096"
"2009","2","2518","1627","4145"
"2009","1","2646","1570","4216"
