"Año","Periodo","PAES","PEAMA","Regular","Total"
"2020","2","700","491","3938","5129"
"2020","1","699","500","4091","5290"
"2019","2","554","358","4319","5231"
"2019","1","482","662","4226","5370"
"2018","2","336","460","4337","5133"
"2018","1","464","486","4438","5388"
"2017","2","245","277","4409","4931"
"2017","1","326","424","4263","5013"
"2016","2","221","228","4515","4964"
"2016","1","334","205","4321","4860"
"2015","2","137","150","4432","4719"
"2015","1","348","193","4372","4913"
"2014","2","149","134","4559","4842"
"2014","1","290","338","3650","4278"
"2013","2","116","154","4014","4284"
"2013","1","368","182","4512","5062"
"2012","2","186","145","4407","4738"
"2012","1","476","172","4403","5051"
"2011","2","259","1","3486","3746"
"2011","1","409","167","4809","5385"
"2010","2","149","99","4489","4737"
"2010","1","329","111","4656","5096"
"2009","2","137","87","3921","4145"
"2009","1","251","73","3892","4216"
