"Año","Periodo","Etapa de movilidad","Etapa Inicial","Total"
"2020","2","2471","802","3273"
"2020","1","1721","776","2497"
"2019","2","1987","777","2764"
"2019","1","1816","917","2733"
"2018","2","1535","809","2344"
"2018","1","1416","691","2107"
"2017","2","1247","545","1792"
"2017","1","1129","569","1698"
"2016","2","1016","397","1413"
"2016","1","1004","319","1323"
"2015","2","944","263","1207"
"2015","1","904","270","1174"
"2014","2","810","241","1051"
"2014","1","843","449","1292"
"2013","2","571","369","940"
"2013","1","598","281","879"
"2012","2","384","358","742"
"2012","1","321","371","692"
"2011","2","235","372","607"
"2011","1","157","393","550"
"2010","2","113","293","406"
"2010","1","63","289","352"
"2009","2","28","237","265"
"2009","1","9","180","189"
