"Año","Periodo","No","Sí","Total"
"2020","2","42150","5129","47279"
"2020","1","31068","5290","36358"
"2019","2","40349","5231","45580"
"2019","1","39251","5370","44621"
"2018","2","39280","5133","44413"
"2018","1","38887","5388","44275"
"2017","2","38959","4931","43890"
"2017","1","38884","5013","43897"
"2016","2","38834","4964","43798"
"2016","1","38695","4860","43555"
"2015","2","38690","4719","43409"
"2015","1","38271","4913","43184"
"2014","2","37995","4842","42837"
"2014","1","38015","4278","42293"
"2013","2","38000","4284","42284"
"2013","1","37366","5062","42428"
"2012","2","36767","4738","41505"
"2012","1","36289","5051","41340"
"2011","2","36495","3746","40241"
"2011","1","34840","5385","40225"
"2010","2","34347","4737","39084"
"2010","1","34218","5096","39314"
"2009","2","34535","4145","38680"
"2009","1","34849","4216","39065"
