"Año","Periodo","Especial","Regular","Total"
"2020","2","7233","40046","47279"
"2020","1","5222","31136","36358"
"2019","2","5792","39788","45580"
"2019","1","5469","39152","44621"
"2018","2","4899","39514","44413"
"2018","1","4699","39576","44275"
"2017","2","4182","39708","43890"
"2017","1","4110","39787","43897"
"2016","2","3735","40063","43798"
"2016","1","3667","39888","43555"
"2015","2","3420","39989","43409"
"2015","1","3510","39674","43184"
"2014","2","3258","39579","42837"
"2014","1","3549","38744","42293"
"2013","2","3107","39177","42284"
"2013","1","3216","39212","42428"
"2012","2","2891","38614","41505"
"2012","1","2927","38413","41340"
"2011","2","2528","37713","40241"
"2011","1","2607","37618","40225"
"2010","2","2209","36875","39084"
"2010","1","2264","37050","39314"
"2009","2","2012","36668","38680"
"2009","1","1982","37083","39065"
