"Año","Periodo","Colombiana","Extranjero","Sin información","Total"
"2020","2","46889","381","9","47279"
"2020","1","36054","300","4","36358"
"2019","2","45240","339","1","45580"
"2019","1","44320","296","5","44621"
"2018","2","44137","193","83","44413"
"2018","1","44016","165","94","44275"
"2017","2","43670","161","59","43890"
"2017","1","43702","149","46","43897"
"2016","2","43621","135","42","43798"
"2016","1","43397","118","40","43555"
"2015","2","43257","49","103","43409"
"2015","1","43055","32","97","43184"
"2014","2","42734","31","72","42837"
"2014","1","42191","20","82","42293"
"2013","2","42187","28","69","42284"
"2013","1","42343","35","50","42428"
"2012","2","41423","40","42","41505"
"2012","1","41259","43","38","41340"
"2011","2","","","","0"
"2011","1","40166","52","7","40225"
"2010","2","39024","53","7","39084"
"2010","1","39247","59","8","39314"
"2009","2","38618","54","8","38680"
"2009","1","39003","54","8","39065"
