"Año","Periodo","Comunidades indígenas","De La Paz","Mejores bachilleres","Mejores bachilleres de municipios pobres","Población afrocolombiana","Victimas del conflicto armado interno en Colombia","Total"
"2020","2","1160","561","464","357","585","833","3960"
"2020","1","856","386","423","269","439","352","2725"
"2019","2","1006","201","456","359","487","519","3028"
"2019","1","983","","483","399","492","379","2736"
"2018","2","977","","460","368","457","293","2555"
"2018","1","965","","499","439","482","207","2592"
"2017","2","923","","458","398","448","163","2390"
"2017","1","935","","476","457","461","83","2412"
"2016","2","923","","497","411","419","71","2321"
"2016","1","883","","529","486","428","17","2343"
"2015","2","875","","514","453","365","6","2213"
"2015","1","876","","471","591","388","8","2334"
"2014","2","846","","471","574","314","0","2205"
"2014","1","799","","513","614","328","0","2254"
"2013","2","776","","507","622","260","0","2165"
"2013","1","795","","553","694","293","0","2335"
"2012","2","767","","544","618","218","0","2147"
"2012","1","730","","558","703","240","0","2231"
"2011","2","643","","558","596","120","0","1917"
"2011","1","640","","608","661","142","0","2051"
"2010","2","628","","606","561","4","0","1799"
"2010","1","642","","645","602","17","0","1906"
"2009","2","566","","641","531","0","0","1738"
"2009","1","560","","685","542","0","0","1787"
