"Año","Periodo","PAES","PEAA","PEAMA","Regular","Total"
"2020","2","3960","","3273","40046","47279"
"2020","1","2725","","2497","31136","36358"
"2019","2","3028","","2764","39788","45580"
"2019","1","2736","","2733","39152","44621"
"2018","2","2555","","2344","39514","44413"
"2018","1","2592","","2107","39576","44275"
"2017","2","2390","","1792","39708","43890"
"2017","1","2412","","1698","39787","43897"
"2016","2","2321","1","1413","40063","43798"
"2016","1","2343","1","1323","39888","43555"
"2015","2","2213","","1207","39989","43409"
"2015","1","2334","2","1174","39674","43184"
"2014","2","2205","2","1051","39579","42837"
"2014","1","2254","3","1292","38744","42293"
"2013","2","2165","2","940","39177","42284"
"2013","1","2335","2","879","39212","42428"
"2012","2","2147","2","742","38614","41505"
"2012","1","2231","4","692","38413","41340"
"2011","2","1917","4","607","37713","40241"
"2011","1","2051","6","550","37618","40225"
"2010","2","1799","4","406","36875","39084"
"2010","1","1906","6","352","37050","39314"
"2009","2","1738","9","265","36668","38680"
"2009","1","1787","6","189","37083","39065"
