"Año","Periodo","Agronomía, veterinaria y afines","Bellas artes","Ciencias de la educación","Ciencias de la salud","Ciencias sociales y humanas","Economía, administración, contaduría y afines","Ingeniería, arquitectura, urbanismo y afines","Matemáticas y ciencias naturales","Sin información","Total"
"2021","1","0","0","0","0","0","238","386","41","0","665"
"2020","2","0","0","0","0","0","168","336","17","0","521"
"2020","1","0","0","0","0","0","237","418","52","0","707"
"2019","2","0","0","0","0","0","132","395","23","0","550"
"2019","1","0","0","0","0","0","271","409","54","0","734"
"2018","2","0","0","0","0","0","128","400","16","0","544"
"2018","1","0","0","0","0","0","253","403","49","0","705"
"2017","2","0","0","0","0","0","152","410","43","0","605"
"2017","1","0","0","0","0","0","287","444","54","0","785"
"2016","2","0","0","0","0","0","150","412","25","0","587"
"2016","1","0","0","0","0","0","298","455","72","0","825"
"2015","2","0","0","0","0","0","151","410","24","0","585"
"2015","1","0","0","0","0","0","273","435","48","0","756"
"2014","2","0","0","0","0","0","182","408","20","0","610"
"2014","1","0","0","0","0","0","226","407","39","0","672"
"2013","2","0","0","0","0","0","146","362","42","0","550"
"2013","1","0","0","0","0","0","291","445","52","0","788"
"2012","2","0","0","0","0","0","200","406","36","0","642"
"2012","1","0","0","0","0","0","283","433","36","0","752"
"2011","2","0","0","0","0","0","138","398","35","0","571"
"2011","1","0","0","0","0","0","255","445","65","0","765"
"2010","2","0","0","0","0","0","175","349","0","0","524"
"2010","1","0","0","0","0","0","255","469","65","0","789"
"2009","2","0","0","0","0","0","190","344","0","0","534"
"2009","1","0","0","0","0","0","254","416","39","0","709"
"2008","2","0","0","0","0","0","237","335","0","0","572"
"2008","1","0","0","0","0","0","232","346","17","0","595"
