"Año","Periodo","No","Sí","Total"
"2021","1","664","1","665"
"2020","2","517","4","521"
"2020","1","706","1","707"
"2019","2","548","2","550"
"2019","1","734","0","734"
"2018","2","544","0","544"
"2018","1","704","1","705"
"2017","2","605","0","605"
"2017","1","785","0","785"
"2016","2","587","0","587"
"2016","1","825","0","825"
"2015","2","585","0","585"
"2015","1","756","0","756"
"2014","2","610","0","610"
"2014","1","671","1","672"
"2013","2","550","0","550"
"2013","1","787","1","788"
"2012","2","642","0","642"
"2012","1","752","0","752"
"2011","2","571","0","571"
"2011","1","765","0","765"
"2010","2","524","0","524"
"2010","1","789","0","789"
"2009","2","534","0","534"
"2009","1","709","0","709"
"2008","2","572","0","572"
"2008","1","595","0","595"
