"Año","Periodo","17 años o menos","18 a 20 años","21 a 25 años","26 o más años","Sin información","Total"
"2021","1","374","205","75","11","0","665"
"2020","2","176","236","92","17","0","521"
"2020","1","476","173","41","17","0","707"
"2019","2","220","241","73","16","0","550"
"2019","1","530","114","61","26","3","734"
"2018","2","228","232","65","19","0","544"
"2018","1","475","159","60","11","0","705"
"2017","2","276","225","83","21","0","605"
"2017","1","518","182","67","18","0","785"
"2016","2","258","219","84","26","0","587"
"2016","1","513","213","75","23","1","825"
"2015","2","252","221","88","23","1","585"
"2015","1","470","195","70","21","0","756"
"2014","2","285","234","70","21","0","610"
"2014","1","440","172","45","15","0","672"
"2013","2","250","207","67","26","0","550"
"2013","1","521","182","57","28","0","788"
"2012","2","323","216","74","29","0","642"
"2012","1","468","195","64","25","0","752"
"2011","2","267","205","65","34","0","571"
"2011","1","461","217","59","28","0","765"
"2010","2","244","190","67","23","0","524"
"2010","1","463","225","72","29","0","789"
"2009","2","288","166","67","13","0","534"
"2009","1","439","183","69","18","0","709"
"2008","2","301","195","54","21","1","572"
"2008","1","380","137","59","18","1","595"
