"Año","Periodo","Especial","Regular","Total"
"2021","1","72","593","665"
"2020","2","77","444","521"
"2020","1","82","625","707"
"2019","2","61","489","550"
"2019","1","105","629","734"
"2018","2","69","475","544"
"2018","1","78","627","705"
"2017","2","45","560","605"
"2017","1","90","695","785"
"2016","2","37","550","587"
"2016","1","60","765","825"
"2015","2","22","563","585"
"2015","1","49","707","756"
"2014","2","34","576","610"
"2014","1","40","632","672"
"2013","2","14","536","550"
"2013","1","51","737","788"
"2012","2","25","617","642"
"2012","1","66","686","752"
"2011","2","18","553","571"
"2011","1","57","708","765"
"2010","2","16","508","524"
"2010","1","40","749","789"
"2009","2","14","520","534"
"2009","1","39","670","709"
"2008","2","35","537","572"
"2008","1","34","561","595"
