"Año","Periodo","Colombiana","Extranjero","Sin información","Total"
"2021","1","664","1","0","665"
"2020","2","521","0","0","521"
"2020","1","703","4","0","707"
"2019","2","547","3","0","550"
"2019","1","724","10","0","734"
"2018","2","542","2","0","544"
"2018","1","703","2","0","705"
"2017","2","601","4","0","605"
"2017","1","784","1","0","785"
"2016","2","585","2","0","587"
"2016","1","823","2","0","825"
"2015","2","580","5","0","585"
"2015","1","753","3","0","756"
"2014","2","606","4","0","610"
"2014","1","668","4","0","672"
"2013","2","546","4","0","550"
"2013","1","785","3","0","788"
"2012","2","641","1","0","642"
"2012","1","747","5","0","752"
"2011","2","569","2","0","571"
