"Año","Periodo","17 años o menos","18 a 20 años","21 a 25 años","26 o más años","Sin información","Total"
"2021","1","872","592","198","28","0","1690"
"2020","2","667","607","230","68","0","1572"
"2020","1","1173","559","188","76","0","1996"
"2019","2","671","593","176","50","0","1490"
"2019","1","1590","603","237","98","4","2532"
"2018","2","779","650","210","55","0","1694"
"2018","1","1315","684","225","69","0","2293"
"2017","2","822","713","267","69","1","1872"
"2017","1","1551","765","254","80","0","2650"
"2016","2","778","694","241","81","2","1796"
"2016","1","1446","751","237","80","1","2515"
"2015","2","703","676","238","91","1","1709"
"2015","1","1321","638","189","57","0","2205"
"2014","2","701","651","228","79","0","1659"
