"Año","Periodo","Colombiana","Extranjero","Sin información","Total"
"2021","1","1683","7","0","1690"
"2020","2","1566","6","0","1572"
"2020","1","1982","14","0","1996"
"2019","2","1484","6","0","1490"
"2019","1","2516","16","0","2532"
"2018","2","1685","9","0","1694"
"2018","1","2283","10","0","2293"
"2017","2","1867","5","0","1872"
"2017","1","2644","6","0","2650"
"2016","2","1791","5","0","1796"
"2016","1","2509","6","0","2515"
"2015","2","1702","7","0","1709"
"2015","1","2200","5","0","2205"
"2014","2","1652","7","0","1659"
