"Año","Periodo","23 años o menos","24 a 25 años","26 o más años","Sin información","Total"
"2020","2","124","96","92","0","312"
"2020","1","195","126","85","0","406"
"2019","2","221","157","142","0","520"
"2019","1","51","26","12","0","89"
"2018","2","149","66","87","0","302"
"2018","1","190","85","78","0","353"
"2017","2","211","84","68","0","363"
"2017","1","225","76","67","0","368"
"2016","2","198","82","61","0","341"
"2016","1","196","92","63","0","351"
"2015","2","178","65","69","0","312"
"2015","1","185","70","64","0","319"
"2014","2","143","60","54","0","257"
"2014","1","162","52","66","0","280"
"2013","2","122","81","94","0","297"
"2013","1","146","72","76","0","294"
"2012","2","126","85","75","0","286"
"2012","1","104","75","73","0","252"
"2011","2","182","55","86","1","324"
"2011","1","156","59","88","1","304"
"2010","2","146","90","115","0","351"
"2010","1","174","100","129","1","404"
