"Año","Periodo","Administración","Ciencias exactas y naturales","Ingeniería y arquitectura","Total"
"2020","2","111","23","178","312"
"2020","1","95","27","284","406"
"2019","2","153","28","339","520"
"2019","1","18","4","67","89"
"2018","2","91","23","188","302"
"2018","1","102","21","230","353"
"2017","2","107","22","234","363"
"2017","1","97","16","255","368"
"2016","2","89","17","235","341"
"2016","1","86","5","260","351"
"2015","2","73","11","228","312"
"2015","1","86","18","215","319"
"2014","2","72","8","177","257"
"2014","1","94","5","181","280"
"2013","2","93","6","198","297"
"2013","1","88","6","200","294"
"2012","2","83","10","193","286"
"2012","1","86","8","158","252"
"2011","2","103","13","208","324"
"2011","1","118","13","173","304"
"2010","2","120","2","229","351"
"2010","1","123","33","248","404"
"2009","2","119","23","239","381"
"2009","1","120","21","274","415"
