"Año","Periodo","Colombiana","Extranjero","Sin información","Total"
"2020","2","312","0","0","312"
"2020","1","404","2","0","406"
"2019","2","519","1","0","520"
"2019","1","89","0","0","89"
"2018","2","301","1","0","302"
"2018","1","352","1","0","353"
"2017","2","362","1","0","363"
"2017","1","367","1","0","368"
"2016","2","341","0","0","341"
"2016","1","351","0","0","351"
"2015","2","312","0","0","312"
"2015","1","319","0","0","319"
"2014","2","256","1","0","257"
"2014","1","279","1","0","280"
"2013","2","296","1","0","297"
"2013","1","293","1","0","294"
"2012","2","286","0","0","286"
"2012","1","252","0","0","252"
"2011","2","323","0","1","324"
"2011","1","304","0","0","304"
"2010","2","350","0","1","351"
"2010","1","403","0","1","404"
