"Año","Periodo","Hombres","Mujeres","Total"
"2020","2","189","123","312"
"2020","1","279","127","406"
"2019","2","330","190","520"
"2019","1","56","33","89"
"2018","2","208","94","302"
"2018","1","212","141","353"
"2017","2","226","137","363"
"2017","1","248","120","368"
"2016","2","212","129","341"
"2016","1","223","128","351"
"2015","2","183","129","312"
"2015","1","206","113","319"
"2014","2","164","93","257"
"2014","1","164","116","280"
"2013","2","172","125","297"
"2013","1","197","97","294"
"2012","2","197","89","286"
"2012","1","153","99","252"
"2011","2","206","118","324"
"2011","1","181","123","304"
"2010","2","218","133","351"
"2010","1","262","142","404"
"2009","2","230","151","381"
"2009","1","254","161","415"
